2.660202675406704742e+01,1.098661046064833435e+01
1.136810065336213960e+01,4.336938550910029733e+01
2.303004217511575913e+00,1.491960680686261753e+01
3.653001674514385400e+01,4.213813757904073753e+01
3.698619578319185308e+00,1.817836889406754608e+01
3.544609193867606933e+01,3.180493495509934831e+01
3.291553227383985103e+01,4.712902011999992169e+01
5.024459978001370786e+01,3.151983331404033351e+01
2.725648871295509679e+01,2.691975645779388415e+01
2.551270395626513832e+01,5.099082264313253887e+01
2.390399489412243783e-01,2.213576637871018349e+01
1.224790284344733671e+01,6.853428835753430981e+00
4.176435058678161738e+01,5.973708117388458305e+00
5.497080193977033957e+00,3.700640465825201630e+01
1.218044855745496413e+01,1.065965320240899672e+01
1.457315467819387678e+01,8.665679538030948592e+00
4.102023113560475309e+01,2.858835566273883799e+01
2.134888735137808169e+01,4.812219242148024989e+01
1.018379891457703401e+01,8.664458066874541231e+00
1.859306889453946710e+01,3.251504533472338210e+01
4.467776385257801053e+01,1.846321424940793321e+01
5.068808797503186980e+01,2.215973815820786541e+01
4.872831446593585802e+00,1.535679225853269436e+01
1.287949085586553299e-01,2.407779999724307629e+01
2.090882769847510758e+01,4.811669713959813022e-01
3.879814451065230685e+01,3.786694072672884825e+00
1.062105522047062323e+00,1.853286985850936830e+01
3.050521561281265548e+01,3.520852468505520250e+01
2.034224435721468893e+01,8.580439966406139263e+00
1.989418110865588574e+01,4.472043312226215761e+01
2.570374736977901620e+01,5.171895825107526434e+00
8.190847810066790302e+00,1.051733500209364713e+01
3.675205721660132951e+01,1.271908945197298380e+01
4.839775169889498585e+01,3.669359477011273185e+01
3.717684803558941553e+01,2.863940644805643032e+00
5.042674740861240679e+01,2.031123308360536583e+01
2.415809432778775445e+01,1.588028152094963374e+01
3.229330369853703253e+00,1.328017501911931753e+01
7.400604772274713028e+00,3.939298784603940362e+01
9.449407151360539103e+00,1.898345707258711101e+01
1.478190722459806850e+01,5.334902389791110089e+00
4.207743193096689538e+01,4.121074442070211319e+01
4.274538361403901376e+01,1.597209386498167127e+01
2.187088286553792216e+01,5.066977757780707492e+01
2.685584324527670574e+01,1.406871748521009380e+01
2.582999412008831541e+01,8.038964913041118265e+00
5.754605410469022964e+00,4.156929006242143743e+01
2.691951404789324442e+01,2.384908582560693446e+01
2.934369022773591595e+01,5.066255711253409544e+01
1.867420728195734014e+01,2.608054378112647598e+01
3.838857235461956208e+01,6.682935612810521064e+00
2.987891810934116776e+01,2.524034128902640362e+01
1.535468864366683839e+01,1.515438953350092177e+01
3.548437625323955302e+01,2.058868833798888520e+00
3.612506467787780196e+01,3.876714679820778997e+01
3.832657579614979682e+01,3.010976971795935242e+01
1.855744237284131870e+01,1.650399740882164323e+01
1.058514542234393829e+01,4.852916314613882065e+00
7.837104241835849194e+00,2.874542828617413903e+01
4.396614194787028396e+01,3.914860562991370330e+01
1.000103527122818292e+01,3.117626077534078988e+01
2.810234147574920627e+01,3.982676330054469105e+01
1.942528798660315470e+00,3.510349007898464890e+01
3.203812074445276892e+01,8.590201674972567369e-01
2.461030102058856883e+01,4.374650449225950255e-02
2.992353277145677115e+00,2.921923467643950900e+01
7.755595845884404760e+00,2.530680798514603325e+01
7.006635482309068408e+00,4.297281061511998246e+01
1.981404080625067365e+01,4.174285998305405343e+01
1.723022658111301197e+01,1.460217198219633916e+00
2.005680135080566373e+01,3.085488217390025767e+00
3.994829256596371891e+01,4.324177653878443550e+01
4.702247614758434935e+01,1.716632930944946978e+01
2.570234342348145962e+00,2.349794367103890025e+01
1.286062809325024148e+01,3.277208970494984897e+01
2.549762167385721412e+01,4.150659712963137338e+01
2.422590250256602928e+01,1.909705646535147849e+01
7.798929596654818219e+00,1.530227172803651747e+01
1.955132701993296251e+01,3.867969638627423734e+01
4.567381453418649073e+01,2.460631778685059956e+01
3.742145264954485384e+01,1.666270878286414714e+01
4.520804760492764984e+01,2.148190604149815996e+01
1.428872744702346687e+01,4.210043745107012825e+01
1.725911065369934150e+01,7.202231612696824214e+00
3.483996234993365704e+01,4.918810703573410592e+01
2.378390835224619693e+01,1.269382135797790134e+01
3.642654448202993223e+00,3.857187929412773997e+01
1.518963200651294265e+01,1.173660769665915105e+01
1.295013063803292042e+01,1.746714255276032901e+01
3.956994526169637538e+01,1.121765385130929360e+01
